,Pruebas_PCR_Ag,Incidentes_PCR_Ag,H,H_UCI,Defunciones,Asint_H_<45,Asint_H_45a64,Asint_H_+65,Sint_H_<45,Sint_H_45a64,Sint_H_+65,Asint_M_<45,Asint_M_45a64,Asint_M_+65,Sint_M_<45,Sint_M_45a64,Sint_M_+65,Asintomaticos,Entradas,Salidas
18/11/2020,5115.0,497.0,571.0,109.0,13.0,60.0,15.0,10.0,82.0,38.0,17.0,56.0,14.0,10.0,93.0,58.0,23.0,85.0,,
19/11/2020,4120.0,377.0,534.0,109.0,12.0,48.0,14.0,6.0,64.0,34.0,12.0,41.0,9.0,5.0,66.0,40.0,18.0,68.0,,
20/11/2020,4243.0,316.0,500.0,105.0,8.0,33.0,16.0,5.0,50.0,28.0,11.0,31.0,12.0,9.0,55.0,34.0,14.0,54.0,,
21/11/2020,3194.0,290.0,473.0,103.0,6.0,30.0,17.0,3.0,51.0,22.0,11.0,29.0,14.0,15.0,42.0,22.0,17.0,50.0,,
22/11/2020,1210.0,88.0,473.0,103.0,9.0,12.0,3.0,2.0,7.0,8.0,2.0,10.0,8.0,2.0,15.0,7.0,5.0,17.0,,
23/11/2020,4027.0,239.0,493.0,101.0,9.0,27.0,15.0,1.0,42.0,29.0,8.0,16.0,7.0,3.0,53.0,36.0,9.0,43.0,,
24/11/2020,3963.0,273.0,456.0,93.0,8.0,25.0,14.0,9.0,51.0,35.0,8.0,38.0,11.0,10.0,47.0,18.0,6.0,48.0,,
25/11/2020,4382.0,300.0,449.0,91.0,7.0,36.0,12.0,7.0,59.0,23.0,8.0,29.0,14.0,3.0,48.0,24.0,12.0,55.0,,
26/11/2020,3751.0,253.0,426.0,93.0,4.0,28.0,16.0,3.0,52.0,23.0,9.0,40.0,11.0,6.0,37.0,24.0,8.0,47.0,,
27/11/2020,3372.0,246.0,409.0,89.0,4.0,37.0,18.0,2.0,43.0,27.0,7.0,29.0,8.0,6.0,36.0,22.0,10.0,57.0,,
28/11/2020,2372.0,179.0,373.0,90.0,3.0,22.0,16.0,1.0,23.0,10.0,6.0,32.0,6.0,2.0,25.0,13.0,5.0,39.0,,
29/11/2020,1050.0,42.0,371.0,90.0,3.0,4.0,2.0,4.0,5.0,4.0,2.0,6.0,3.0,4.0,5.0,1.0,4.0,10.0,,
30/11/2020,3201.0,176.0,395.0,87.0,3.0,21.0,8.0,3.0,23.0,24.0,4.0,18.0,8.0,3.0,37.0,22.0,4.0,32.0,,
01/12/2020,3480.0,255.0,377.0,87.0,8.0,27.0,6.0,5.0,43.0,29.0,7.0,25.0,8.0,3.0,47.0,31.0,13.0,38.0,,
02/12/2020,3014.0,227.0,341.0,82.0,3.0,38.0,11.0,3.0,38.0,21.0,5.0,24.0,5.0,8.0,44.0,20.0,3.0,52.0,,
03/12/2020,2393.0,152.0,326.0,78.0,2.0,14.0,9.0,6.0,27.0,18.0,7.0,14.0,8.0,4.0,30.0,9.0,6.0,29.0,,
04/12/2020,2857.0,228.0,295.0,77.0,5.0,46.0,13.0,2.0,25.0,23.0,5.0,38.0,7.0,5.0,25.0,22.0,5.0,61.0,,
05/12/2020,1677.0,168.0,277.0,79.0,7.0,14.0,6.0,5.0,21.0,16.0,6.0,18.0,6.0,13.0,32.0,17.0,9.0,25.0,,
06/12/2020,683.0,25.0,272.0,79.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,5.0,2.0,2.0,3.0,,
07/12/2020,1691.0,108.0,261.0,69.0,6.0,13.0,5.0,1.0,17.0,12.0,0.0,15.0,4.0,1.0,24.0,9.0,4.0,19.0,,
08/12/2020,1117.0,63.0,256.0,69.0,5.0,8.0,1.0,0.0,9.0,4.0,2.0,11.0,1.0,2.0,13.0,7.0,2.0,9.0,,
09/12/2020,3096.0,217.0,267.0,67.0,6.0,30.0,7.0,2.0,45.0,22.0,10.0,23.0,6.0,2.0,38.0,17.0,12.0,39.0,,
10/12/2020,3166.0,224.0,250.0,65.0,5.0,20.0,9.0,2.0,36.0,22.0,11.0,28.0,10.0,10.0,36.0,27.0,7.0,31.0,,
11/12/2020,2996.0,265.0,255.0,68.0,6.0,34.0,8.0,5.0,31.0,20.0,17.0,23.0,8.0,5.0,57.0,24.0,14.0,47.0,,
12/12/2020,2423.0,158.0,225.0,70.0,4.0,28.0,7.0,6.0,24.0,19.0,10.0,9.0,7.0,1.0,20.0,8.0,12.0,41.0,,
13/12/2020,1319.0,80.0,228.0,69.0,0.0,4.0,2.0,2.0,14.0,12.0,5.0,4.0,1.0,3.0,13.0,10.0,6.0,8.0,,
14/12/2020,2900.0,218.0,242.0,71.0,7.0,20.0,9.0,8.0,42.0,24.0,4.0,11.0,12.0,7.0,41.0,27.0,6.0,37.0,,
15/12/2020,2898.0,181.0,246.0,69.0,3.0,15.0,11.0,1.0,34.0,19.0,11.0,18.0,4.0,1.0,38.0,17.0,11.0,27.0,,
16/12/2020,3415.0,219.0,238.0,65.0,4.0,31.0,13.0,7.0,41.0,14.0,8.0,11.0,4.0,8.0,44.0,19.0,8.0,51.0,,
17/12/2020,2621.0,196.0,231.0,63.0,2.0,20.0,7.0,2.0,33.0,20.0,7.0,22.0,6.0,2.0,43.0,24.0,10.0,29.0,,
18/12/2020,2926.0,217.0,231.0,63.0,8.0,24.0,8.0,3.0,45.0,25.0,9.0,17.0,9.0,3.0,35.0,22.0,12.0,35.0,,
19/12/2020,2334.0,164.0,223.0,64.0,2.0,22.0,10.0,2.0,31.0,13.0,9.0,8.0,3.0,10.0,33.0,8.0,4.0,34.0,,
20/12/2020,975.0,33.0,220.0,63.0,4.0,1.0,2.0,0.0,7.0,2.0,1.0,5.0,3.0,1.0,3.0,5.0,2.0,3.0,,
21/12/2020,2904.0,206.0,236.0,62.0,4.0,15.0,10.0,3.0,50.0,21.0,11.0,13.0,6.0,1.0,36.0,27.0,10.0,28.0,,
22/12/2020,2588.0,273.0,234.0,65.0,2.0,33.0,13.0,4.0,51.0,22.0,12.0,30.0,6.0,5.0,53.0,28.0,6.0,50.0,,
23/12/2020,3284.0,300.0,235.0,68.0,2.0,28.0,11.0,3.0,74.0,27.0,11.0,22.0,6.0,6.0,58.0,29.0,9.0,42.0,,
24/12/2020,2562.0,251.0,221.0,65.0,2.0,24.0,12.0,4.0,70.0,26.0,6.0,27.0,1.0,2.0,49.0,17.0,7.0,40.0,,
25/12/2020,753.0,102.0,221.0,65.0,6.0,15.0,4.0,3.0,17.0,6.0,2.0,11.0,4.0,4.0,15.0,13.0,3.0,22.0,,
26/12/2020,1917.0,168.0,228.0,69.0,5.0,14.0,9.0,2.0,25.0,24.0,11.0,12.0,6.0,3.0,30.0,21.0,9.0,25.0,,
27/12/2020,1219.0,107.0,233.0,74.0,2.0,8.0,0.0,0.0,23.0,14.0,4.0,10.0,1.0,3.0,20.0,9.0,6.0,8.0,,
28/12/2020,3624.0,369.0,244.0,73.0,2.0,22.0,7.0,4.0,91.0,47.0,9.0,22.0,8.0,4.0,99.0,44.0,10.0,33.0,,
29/12/2020,4058.0,491.0,246.0,75.0,4.0,33.0,17.0,5.0,115.0,49.0,15.0,26.0,18.0,12.0,105.0,49.0,28.0,55.0,,
30/12/2020,4191.0,558.0,231.0,69.0,8.0,56.0,12.0,10.0,126.0,66.0,11.0,43.0,9.0,7.0,121.0,65.0,23.0,78.0,,
31/12/2020,3527.0,578.0,222.0,66.0,6.0,43.0,23.0,9.0,122.0,43.0,23.0,46.0,16.0,10.0,137.0,56.0,24.0,75.0,,
01/01/2021,1425.0,156.0,222.0,66.0,2.0,16.0,2.0,2.0,24.0,20.0,7.0,4.0,5.0,7.0,31.0,30.0,10.0,20.0,,
02/01/2021,2760.0,504.0,232.0,65.0,6.0,41.0,7.0,6.0,112.0,70.0,19.0,27.0,5.0,7.0,125.0,70.0,23.0,54.0,,
03/01/2021,2137.0,292.0,235.0,66.0,1.0,18.0,12.0,6.0,73.0,22.0,16.0,13.0,13.0,6.0,79.0,33.0,15.0,36.0,,
04/01/2021,4410.0,892.0,260.0,74.0,0.0,62.0,31.0,25.0,215.0,104.0,28.0,52.0,21.0,9.0,193.0,129.0,42.0,118.0,,
05/01/2021,6184.0,1276.0,300.0,70.0,4.0,85.0,40.0,13.0,270.0,143.0,42.0,76.0,46.0,19.0,327.0,159.0,43.0,138.0,,
06/01/2021,3486.0,621.0,300.0,74.0,4.0,46.0,25.0,14.0,127.0,59.0,18.0,38.0,7.0,30.0,139.0,77.0,25.0,85.0,,
07/01/2021,6214.0,1445.0,323.0,75.0,7.0,93.0,39.0,14.0,327.0,174.0,54.0,83.0,32.0,25.0,339.0,187.0,48.0,146.0,,
08/01/2021,7643.0,1606.0,370.0,81.0,3.0,137.0,58.0,24.0,343.0,188.0,61.0,103.0,44.0,29.0,347.0,194.0,81.0,219.0,,
09/01/2021,7048.0,1369.0,401.0,85.0,3.0,118.0,46.0,22.0,247.0,125.0,51.0,95.0,37.0,25.0,326.0,160.0,65.0,186.0,,
10/01/2021,4016.0,791.0,407.0,87.0,4.0,66.0,34.0,18.0,152.0,68.0,28.0,51.0,17.0,27.0,147.0,91.0,47.0,118.0,,
11/01/2021,8207.0,2068.0,459.0,88.0,7.0,140.0,49.0,20.0,424.0,251.0,78.0,116.0,45.0,32.0,456.0,294.0,82.0,209.0,,
12/01/2021,10858.0,2283.0,539.0,92.0,10.0,157.0,73.0,53.0,423.0,258.0,89.0,146.0,56.0,80.0,506.0,276.0,104.0,283.0,,
13/01/2021,9961.0,2056.0,583.0,98.0,7.0,152.0,63.0,36.0,430.0,224.0,88.0,124.0,48.0,49.0,485.0,246.0,109.0,251.0,,
14/01/2021,10196.0,2005.0,640.0,103.0,15.0,173.0,57.0,47.0,417.0,234.0,66.0,130.0,49.0,39.0,462.0,243.0,99.0,277.0,,
15/01/2021,10115.0,2060.0,672.0,103.0,15.0,144.0,72.0,29.0,379.0,209.0,90.0,118.0,49.0,49.0,417.0,254.0,123.0,245.0,,
16/01/2021,8333.0,1541.0,704.0,103.0,8.0,130.0,52.0,40.0,275.0,158.0,60.0,108.0,43.0,46.0,316.0,161.0,70.0,222.0,,
17/01/2021,6564.0,1015.0,715.0,105.0,13.0,87.0,36.0,36.0,171.0,77.0,48.0,75.0,23.0,39.0,193.0,117.0,66.0,159.0,,
18/01/2021,9685.0,1838.0,852.0,119.0,18.0,107.0,48.0,35.0,356.0,235.0,86.0,94.0,39.0,31.0,421.0,280.0,119.0,190.0,,
19/01/2021,11926.0,2052.0,900.0,122.0,22.0,156.0,70.0,48.0,399.0,232.0,76.0,158.0,46.0,37.0,397.0,257.0,109.0,274.0,,
20/01/2021,11865.0,1870.0,970.0,130.0,23.0,133.0,54.0,36.0,350.0,206.0,78.0,127.0,50.0,49.0,386.0,243.0,93.0,223.0,,
21/01/2021,9075.0,1500.0,1041.0,142.0,26.0,111.0,45.0,27.0,271.0,146.0,68.0,118.0,44.0,38.0,311.0,205.0,91.0,183.0,,
22/01/2021,9784.0,1467.0,1057.0,156.0,20.0,123.0,53.0,37.0,254.0,145.0,57.0,137.0,40.0,29.0,296.0,192.0,75.0,213.0,,
23/01/2021,8344.0,1249.0,1068.0,155.0,20.0,157.0,53.0,27.0,205.0,116.0,57.0,119.0,36.0,37.0,229.0,123.0,62.0,237.0,,
24/01/2021,5107.0,671.0,1073.0,158.0,29.0,68.0,22.0,13.0,97.0,71.0,39.0,56.0,36.0,19.0,114.0,73.0,38.0,103.0,,
25/01/2021,9075.0,1385.0,1136.0,162.0,27.0,110.0,44.0,29.0,237.0,157.0,61.0,98.0,30.0,57.0,302.0,186.0,82.0,183.0,,
26/01/2021,10025.0,1387.0,1095.0,168.0,29.0,132.0,46.0,25.0,261.0,147.0,56.0,126.0,41.0,33.0,266.0,166.0,72.0,203.0,,
27/01/2021,9609.0,1016.0,1130.0,167.0,24.0,96.0,29.0,18.0,194.0,99.0,49.0,89.0,31.0,27.0,170.0,118.0,51.0,143.0,,
28/01/2021,8121.0,956.0,1090.0,175.0,30.0,110.0,42.0,16.0,149.0,85.0,31.0,84.0,22.0,29.0,197.0,111.0,48.0,168.0,,
29/01/2021,8100.0,796.0,1098.0,176.0,25.0,83.0,32.0,18.0,120.0,67.0,43.0,66.0,39.0,18.0,150.0,93.0,47.0,133.0,,
30/01/2021,5654.0,679.0,1040.0,168.0,24.0,78.0,28.0,18.0,118.0,59.0,24.0,72.0,30.0,19.0,114.0,70.0,29.0,124.0,,
31/01/2021,2263.0,189.0,1045.0,167.0,20.0,14.0,6.0,8.0,22.0,23.0,6.0,16.0,3.0,9.0,45.0,16.0,16.0,28.0,,
01/02/2021,6119.0,546.0,1081.0,173.0,23.0,52.0,12.0,6.0,107.0,55.0,19.0,45.0,11.0,11.0,131.0,57.0,26.0,70.0,,
02/02/2021,7623.0,709.0,1012.0,175.0,23.0,88.0,33.0,18.0,111.0,60.0,36.0,61.0,20.0,15.0,129.0,81.0,29.0,139.0,,
03/02/2021,6022.0,496.0,973.0,174.0,14.0,53.0,25.0,15.0,87.0,50.0,22.0,53.0,21.0,15.0,75.0,49.0,24.0,93.0,,
04/02/2021,4869.0,463.0,922.0,176.0,20.0,47.0,18.0,4.0,79.0,37.0,19.0,51.0,18.0,14.0,100.0,46.0,15.0,69.0,,
05/02/2021,4673.0,379.0,876.0,165.0,11.0,41.0,12.0,11.0,53.0,35.0,14.0,35.0,11.0,9.0,78.0,43.0,25.0,64.0,,
06/02/2021,3845.0,295.0,826.0,166.0,13.0,37.0,14.0,8.0,62.0,19.0,10.0,25.0,7.0,10.0,49.0,29.0,17.0,59.0,,
07/02/2021,1619.0,107.0,821.0,165.0,12.0,10.0,5.0,1.0,20.0,8.0,5.0,16.0,4.0,4.0,16.0,12.0,6.0,16.0,,
08/02/2021,4456.0,314.0,809.0,164.0,16.0,18.0,15.0,4.0,58.0,38.0,15.0,24.0,4.0,9.0,72.0,40.0,6.0,37.0,,
09/02/2021,4504.0,306.0,720.0,157.0,13.0,30.0,11.0,4.0,55.0,26.0,6.0,32.0,13.0,8.0,56.0,21.0,13.0,45.0,,
10/02/2021,4411.0,214.0,682.0,152.0,14.0,24.0,5.0,2.0,29.0,26.0,7.0,23.0,5.0,4.0,52.0,21.0,14.0,31.0,,
11/02/2021,3749.0,211.0,627.0,147.0,16.0,27.0,11.0,5.0,36.0,19.0,4.0,17.0,1.0,3.0,51.0,26.0,5.0,43.0,,
12/02/2021,3721.0,297.0,580.0,138.0,15.0,40.0,6.0,2.0,52.0,18.0,11.0,41.0,5.0,4.0,70.0,21.0,8.0,48.0,,
13/02/2021,2635.0,124.0,534.0,132.0,10.0,15.0,3.0,6.0,17.0,7.0,5.0,10.0,6.0,5.0,29.0,11.0,8.0,24.0,,
14/02/2021,1133.0,33.0,506.0,130.0,10.0,1.0,3.0,1.0,9.0,1.0,2.0,4.0,0.0,1.0,5.0,6.0,1.0,5.0,,
15/02/2021,3443.0,169.0,500.0,121.0,7.0,18.0,2.0,2.0,37.0,13.0,10.0,9.0,3.0,3.0,36.0,19.0,7.0,22.0,,
16/02/2021,4158.0,192.0,463.0,119.0,9.0,29.0,10.0,5.0,32.0,15.0,13.0,16.0,10.0,3.0,33.0,16.0,6.0,44.0,,
17/02/2021,3198.0,134.0,424.0,110.0,5.0,16.0,10.0,3.0,25.0,13.0,4.0,14.0,4.0,5.0,21.0,12.0,5.0,29.0,,
18/02/2021,2702.0,126.0,407.0,112.0,9.0,13.0,1.0,3.0,25.0,10.0,5.0,15.0,3.0,1.0,31.0,16.0,3.0,17.0,,
19/02/2021,2208.0,141.0,383.0,109.0,8.0,24.0,5.0,2.0,31.0,12.0,3.0,18.0,2.0,1.0,18.0,11.0,8.0,31.0,,
20/02/2021,2374.0,96.0,342.0,106.0,10.0,8.0,2.0,0.0,16.0,8.0,8.0,9.0,3.0,4.0,19.0,6.0,6.0,10.0,,
21/02/2021,979.0,34.0,319.0,105.0,4.0,8.0,2.0,0.0,8.0,2.0,3.0,1.0,0.0,2.0,5.0,2.0,4.0,10.0,,
22/02/2021,3305.0,114.0,351.0,107.0,4.0,11.0,2.0,2.0,26.0,14.0,2.0,12.0,2.0,1.0,33.0,9.0,2.0,15.0,,
23/02/2021,3237.0,130.0,312.0,92.0,3.0,18.0,5.0,2.0,25.0,11.0,2.0,18.0,8.0,1.0,28.0,10.0,6.0,25.0,,
24/02/2021,2877.0,113.0,286.0,89.0,4.0,12.0,3.0,2.0,15.0,14.0,5.0,6.0,7.0,2.0,23.0,8.0,4.0,17.0,,
25/02/2021,2402.0,88.0,259.0,86.0,14.0,7.0,5.0,2.0,20.0,6.0,4.0,16.0,2.0,1.0,15.0,9.0,3.0,14.0,,
26/02/2021,2601.0,92.0,237.0,81.0,6.0,9.0,5.0,3.0,21.0,3.0,4.0,9.0,4.0,2.0,21.0,7.0,4.0,17.0,,
27/02/2021,1650.0,43.0,231.0,82.0,4.0,5.0,2.0,0.0,8.0,6.0,3.0,6.0,1.0,2.0,3.0,6.0,1.0,7.0,,
28/02/2021,1214.0,59.0,229.0,80.0,2.0,8.0,2.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,18.0,4.0,2.0,11.0,,
01/03/2021,2820.0,72.0,217.0,75.0,5.0,8.0,3.0,2.0,19.0,9.0,1.0,8.0,1.0,2.0,14.0,12.0,5.0,13.0,,
02/03/2021,3315.0,98.0,204.0,73.0,6.0,13.0,5.0,3.0,20.0,6.0,3.0,10.0,1.0,4.0,23.0,10.0,3.0,21.0,,
03/03/2021,2648.0,88.0,202.0,71.0,1.0,12.0,4.0,1.0,16.0,11.0,4.0,6.0,2.0,4.0,17.0,7.0,5.0,17.0,,
04/03/2021,2299.0,105.0,182.0,68.0,4.0,10.0,6.0,3.0,23.0,5.0,3.0,9.0,6.0,1.0,20.0,16.0,3.0,19.0,,
05/03/2021,2224.0,71.0,173.0,66.0,5.0,15.0,1.0,1.0,18.0,9.0,2.0,8.0,1.0,3.0,14.0,5.0,0.0,17.0,,
06/03/2021,1925.0,64.0,155.0,63.0,2.0,13.0,3.0,2.0,17.0,6.0,2.0,4.0,3.0,0.0,5.0,5.0,1.0,18.0,,
07/03/2021,973.0,22.0,153.0,63.0,2.0,3.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,3.0,,
08/03/2021,2822.0,82.0,159.0,59.0,2.0,20.0,2.0,3.0,23.0,8.0,2.0,5.0,5.0,1.0,25.0,7.0,4.0,25.0,,
09/03/2021,2713.0,60.0,157.0,58.0,3.0,6.0,3.0,2.0,13.0,7.0,1.0,5.0,1.0,0.0,12.0,7.0,4.0,11.0,,
10/03/2021,2746.0,91.0,150.0,57.0,1.0,14.0,4.0,1.0,23.0,6.0,5.0,15.0,7.0,4.0,9.0,2.0,3.0,19.0,,
11/03/2021,2077.0,64.0,134.0,52.0,1.0,9.0,4.0,1.0,16.0,5.0,0.0,9.0,3.0,2.0,12.0,6.0,4.0,14.0,,
12/03/2021,2112.0,58.0,136.0,54.0,2.0,9.0,1.0,3.0,12.0,7.0,0.0,6.0,0.0,2.0,12.0,4.0,2.0,13.0,,
13/03/2021,1963.0,65.0,138.0,52.0,1.0,8.0,3.0,1.0,14.0,3.0,2.0,11.0,1.0,1.0,15.0,4.0,3.0,12.0,,
14/03/2021,1253.0,16.0,135.0,52.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,,
15/03/2021,3056.0,78.0,145.0,54.0,0.0,5.0,3.0,1.0,19.0,5.0,0.0,7.0,6.0,2.0,16.0,10.0,2.0,9.0,,
16/03/2021,2482.0,53.0,135.0,52.0,1.0,6.0,0.0,3.0,12.0,7.0,1.0,3.0,1.0,1.0,12.0,4.0,3.0,9.0,,
17/03/2021,2203.0,62.0,127.0,51.0,0.0,5.0,3.0,2.0,8.0,7.0,3.0,10.0,1.0,0.0,15.0,6.0,1.0,10.0,,
18/03/2021,1946.0,83.0,127.0,48.0,2.0,9.0,5.0,1.0,23.0,2.0,1.0,10.0,5.0,3.0,17.0,9.0,1.0,15.0,,
19/03/2021,760.0,14.0,116.0,48.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,,
20/03/2021,1875.0,68.0,114.0,43.0,0.0,8.0,4.0,3.0,16.0,5.0,1.0,6.0,1.0,1.0,19.0,5.0,0.0,15.0,,
21/03/2021,1188.0,30.0,116.0,43.0,0.0,1.0,1.0,0.0,4.0,5.0,0.0,3.0,1.0,0.0,13.0,3.0,1.0,2.0,,
22/03/2021,2715.0,53.0,125.0,44.0,2.0,10.0,1.0,0.0,13.0,14.0,1.0,1.0,2.0,1.0,12.0,8.0,2.0,11.0,,
23/03/2021,2808.0,84.0,117.0,43.0,2.0,12.0,7.0,1.0,18.0,7.0,5.0,8.0,2.0,1.0,15.0,10.0,5.0,20.0,,
24/03/2021,2453.0,52.0,110.0,40.0,0.0,3.0,2.0,1.0,16.0,2.0,4.0,5.0,4.0,0.0,9.0,5.0,2.0,6.0,,
25/03/2021,2108.0,88.0,105.0,41.0,0.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,9.0,9.0,3.0,7.0,,
